type,source_url,local_path,bytes,status
asset,https://www.ochodnica.sk/img/galleries/28/big/6579d438d4323.jpg,assets/migrated/images/f9a7ee585175_6579d438d4323.jpg,147938,200
asset,https://www.ochodnica.sk/img/galleries/28/small/6579d438d4323.jpg,assets/migrated/images/5936fc64ab45_6579d438d4323.jpg,74498,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ad34cb3.jpg,assets/migrated/images/43b1b392b8b2_5ced78ad34cb3.jpg,152436,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ad34cb3.jpg,assets/migrated/images/6379da83b737_5ced78ad34cb3.jpg,84173,200
asset,https://www.ochodnica.sk/img/galleries/28/big/6579d43904ee6.jpg,assets/migrated/images/8a66b4bd5795_6579d43904ee6.jpg,285990,200
asset,https://www.ochodnica.sk/img/galleries/28/small/6579d43904ee6.jpg,assets/migrated/images/ea10607a4acd_6579d43904ee6.jpg,145677,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ad52b29.jpg,assets/migrated/images/a039cd3a4c2f_5ced78ad52b29.jpg,146446,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ad52b29.jpg,assets/migrated/images/7e7c29668205_5ced78ad52b29.jpg,76517,200
asset,https://www.ochodnica.sk/img/galleries/28/big/6579d439201a1.jpg,assets/migrated/images/a333820ed38a_6579d439201a1.jpg,197617,200
asset,https://www.ochodnica.sk/img/galleries/28/small/6579d439201a1.jpg,assets/migrated/images/5370a9943b26_6579d439201a1.jpg,78111,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ad714f8.jpg,assets/migrated/images/7f2845bdd6ed_5ced78ad714f8.jpg,138432,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ad714f8.jpg,assets/migrated/images/46e4b61c86c6_5ced78ad714f8.jpg,79804,200
asset,https://www.ochodnica.sk/img/galleries/28/big/6579d439518bf.jpg,assets/migrated/images/4840117e0f06_6579d439518bf.jpg,177887,200
asset,https://www.ochodnica.sk/img/galleries/28/small/6579d439518bf.jpg,assets/migrated/images/0373b92f109b_6579d439518bf.jpg,77223,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ad88d97.jpg,assets/migrated/images/0d5989446498_5ced78ad88d97.jpg,152641,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ad88d97.jpg,assets/migrated/images/55f4ba8e4473_5ced78ad88d97.jpg,85243,200
asset,https://www.ochodnica.sk/img/galleries/28/big/6579d43967c5a.jpg,assets/migrated/images/ee49e1fc9d80_6579d43967c5a.jpg,140730,200
asset,https://www.ochodnica.sk/img/galleries/28/small/6579d43967c5a.jpg,assets/migrated/images/623320604a2d_6579d43967c5a.jpg,71936,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ada2487.jpg,assets/migrated/images/a6232bf7b1b7_5ced78ada2487.jpg,174910,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ada2487.jpg,assets/migrated/images/e2b50142d018_5ced78ada2487.jpg,93226,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78adbeafe.jpg,assets/migrated/images/7c1d393bbf4f_5ced78adbeafe.jpg,165119,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78adbeafe.jpg,assets/migrated/images/98b52f6ab539_5ced78adbeafe.jpg,85556,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78addc571.jpg,assets/migrated/images/6167c9b7d7d4_5ced78addc571.jpg,195373,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78addc571.jpg,assets/migrated/images/a45ddb49c665_5ced78addc571.jpg,99033,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ae06395.jpg,assets/migrated/images/4e23d4b23284_5ced78ae06395.jpg,102109,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ae06395.jpg,assets/migrated/images/6968d5835646_5ced78ae06395.jpg,68717,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ae1ecf2.jpg,assets/migrated/images/190aadd21ab7_5ced78ae1ecf2.jpg,204595,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ae1ecf2.jpg,assets/migrated/images/8c19c57e5bd0_5ced78ae1ecf2.jpg,98069,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ae3cc9a.jpg,assets/migrated/images/c27a37e9a213_5ced78ae3cc9a.jpg,136819,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ae3cc9a.jpg,assets/migrated/images/28dbe9158665_5ced78ae3cc9a.jpg,92563,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ae5a81c.jpg,assets/migrated/images/f87eec079be4_5ced78ae5a81c.jpg,154851,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ae5a81c.jpg,assets/migrated/images/c00dd1cf5e40_5ced78ae5a81c.jpg,85993,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78ae7bfd6.jpg,assets/migrated/images/c1fcfba3dece_5ced78ae7bfd6.jpg,145553,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78ae7bfd6.jpg,assets/migrated/images/42d1dec2cfcb_5ced78ae7bfd6.jpg,78671,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78aea21ac.jpg,assets/migrated/images/730c706fb98b_5ced78aea21ac.jpg,91359,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78aea21ac.jpg,assets/migrated/images/2164d7cdbc80_5ced78aea21ac.jpg,74504,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78aebc93b.jpg,assets/migrated/images/e6f23f299e60_5ced78aebc93b.jpg,79749,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78aebc93b.jpg,assets/migrated/images/ffae05f15e05_5ced78aebc93b.jpg,55408,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78aed8835.jpg,assets/migrated/images/354dc06b37ea_5ced78aed8835.jpg,162186,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78aed8835.jpg,assets/migrated/images/b799b9c71f56_5ced78aed8835.jpg,78589,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78af04261.jpg,assets/migrated/images/e886609bf20b_5ced78af04261.jpg,116369,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78af04261.jpg,assets/migrated/images/117ca9f74f3b_5ced78af04261.jpg,68232,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78af2cb4d.jpg,assets/migrated/images/c6d50280f3ad_5ced78af2cb4d.jpg,149551,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78af2cb4d.jpg,assets/migrated/images/22789415494e_5ced78af2cb4d.jpg,82772,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78af50bd5.jpg,assets/migrated/images/f74d421cbea9_5ced78af50bd5.jpg,123561,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78af50bd5.jpg,assets/migrated/images/0ca2869a676d_5ced78af50bd5.jpg,77315,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78af71014.jpg,assets/migrated/images/6bd11ea372e2_5ced78af71014.jpg,87089,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78af71014.jpg,assets/migrated/images/3bbeb5455efa_5ced78af71014.jpg,72559,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78af87f60.jpg,assets/migrated/images/36a16057cdfa_5ced78af87f60.jpg,211347,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78af87f60.jpg,assets/migrated/images/2e43e1f07c66_5ced78af87f60.jpg,90660,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78afa7356.jpg,assets/migrated/images/b5c9ee4b00ce_5ced78afa7356.jpg,202953,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78afa7356.jpg,assets/migrated/images/4c51cb080956_5ced78afa7356.jpg,82524,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78afcbbd3.jpg,assets/migrated/images/f853c480362a_5ced78afcbbd3.jpg,119304,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78afcbbd3.jpg,assets/migrated/images/70ce64130fae_5ced78afcbbd3.jpg,71692,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78afeaa77.jpg,assets/migrated/images/f7e85ad0231a_5ced78afeaa77.jpg,179756,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78afeaa77.jpg,assets/migrated/images/81eed62e5e67_5ced78afeaa77.jpg,84729,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b01717b.jpg,assets/migrated/images/331aa6ad1555_5ced78b01717b.jpg,168192,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b01717b.jpg,assets/migrated/images/628f42b1cc57_5ced78b01717b.jpg,86324,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b0372dc.jpg,assets/migrated/images/7804b416a4c1_5ced78b0372dc.jpg,133880,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b0372dc.jpg,assets/migrated/images/9246ff96a832_5ced78b0372dc.jpg,80239,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b055cfb.jpg,assets/migrated/images/f85b3ef89795_5ced78b055cfb.jpg,143474,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b055cfb.jpg,assets/migrated/images/5fa47d064425_5ced78b055cfb.jpg,81955,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b0765fa.jpg,assets/migrated/images/7c36847d9d90_5ced78b0765fa.jpg,141485,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b0765fa.jpg,assets/migrated/images/257b7788f11a_5ced78b0765fa.jpg,77319,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b098228.jpg,assets/migrated/images/a62b834c31b9_5ced78b098228.jpg,134713,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b098228.jpg,assets/migrated/images/c3e758af1574_5ced78b098228.jpg,74733,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b0b7265.jpg,assets/migrated/images/69ba763f0c60_5ced78b0b7265.jpg,150139,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b0b7265.jpg,assets/migrated/images/8a1c69761caf_5ced78b0b7265.jpg,86499,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b0d38b4.jpg,assets/migrated/images/f881d5bc129d_5ced78b0d38b4.jpg,142545,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b0d38b4.jpg,assets/migrated/images/2789a21dc3ef_5ced78b0d38b4.jpg,76490,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b0eece2.jpg,assets/migrated/images/0292f1395d68_5ced78b0eece2.jpg,193953,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b0eece2.jpg,assets/migrated/images/db20a78bd481_5ced78b0eece2.jpg,98598,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b119230.jpg,assets/migrated/images/756e21c64168_5ced78b119230.jpg,165731,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b119230.jpg,assets/migrated/images/6736e744b416_5ced78b119230.jpg,85967,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b13631a.jpg,assets/migrated/images/d2245565e6f7_5ced78b13631a.jpg,190929,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b13631a.jpg,assets/migrated/images/71c6c4beeb34_5ced78b13631a.jpg,97407,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b1565fe.jpg,assets/migrated/images/3fec0e9cf1b7_5ced78b1565fe.jpg,146728,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b1565fe.jpg,assets/migrated/images/d09ebe0d88de_5ced78b1565fe.jpg,76555,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b176ac0.jpg,assets/migrated/images/9f87b5b31b3f_5ced78b176ac0.jpg,161809,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b176ac0.jpg,assets/migrated/images/76f814a12b3f_5ced78b176ac0.jpg,84102,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b19aedc.jpg,assets/migrated/images/40ef8eccebf6_5ced78b19aedc.jpg,133844,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b19aedc.jpg,assets/migrated/images/508ddea48d0f_5ced78b19aedc.jpg,85373,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b1bc87d.jpg,assets/migrated/images/625e6bd43430_5ced78b1bc87d.jpg,148719,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b1bc87d.jpg,assets/migrated/images/a4e470f3eebc_5ced78b1bc87d.jpg,79551,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b1da350.jpg,assets/migrated/images/2daaa739ccd7_5ced78b1da350.jpg,139734,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b1da350.jpg,assets/migrated/images/ccdc2e42fe30_5ced78b1da350.jpg,77977,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b2041f4.jpg,assets/migrated/images/0b21846be105_5ced78b2041f4.jpg,100921,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b2041f4.jpg,assets/migrated/images/169e265a094f_5ced78b2041f4.jpg,59956,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b22736e.jpg,assets/migrated/images/c280b8969681_5ced78b22736e.jpg,114825,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b22736e.jpg,assets/migrated/images/1046c8f1a4ba_5ced78b22736e.jpg,69449,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b244a59.jpg,assets/migrated/images/08fd2f2c2978_5ced78b244a59.jpg,150175,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b244a59.jpg,assets/migrated/images/809573926106_5ced78b244a59.jpg,82568,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b2647eb.jpg,assets/migrated/images/4f9853f7d5af_5ced78b2647eb.jpg,123190,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b2647eb.jpg,assets/migrated/images/5446d4b49dfc_5ced78b2647eb.jpg,67459,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b2853ad.jpg,assets/migrated/images/ddfd7a276ed9_5ced78b2853ad.jpg,179166,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b2853ad.jpg,assets/migrated/images/0d5c7bae3207_5ced78b2853ad.jpg,86876,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b2a6c72.jpg,assets/migrated/images/0920d0f8946e_5ced78b2a6c72.jpg,140608,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b2a6c72.jpg,assets/migrated/images/5f5dfc3bccfd_5ced78b2a6c72.jpg,71179,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b2c6bf3.jpg,assets/migrated/images/23c09c19b2eb_5ced78b2c6bf3.jpg,170421,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b2c6bf3.jpg,assets/migrated/images/105cc1fbe2a9_5ced78b2c6bf3.jpg,93175,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b2e55ed.jpg,assets/migrated/images/ffea4f61de9a_5ced78b2e55ed.jpg,111837,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b2e55ed.jpg,assets/migrated/images/5faaff679be4_5ced78b2e55ed.jpg,64999,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b30d48f.jpg,assets/migrated/images/ae6098a8e1b4_5ced78b30d48f.jpg,91808,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b30d48f.jpg,assets/migrated/images/bbde1e99c9ab_5ced78b30d48f.jpg,57906,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b32ac2a.jpg,assets/migrated/images/0d7f573c9605_5ced78b32ac2a.jpg,158520,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b32ac2a.jpg,assets/migrated/images/863f6b765a45_5ced78b32ac2a.jpg,83580,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b34989f.jpg,assets/migrated/images/2d811eec976c_5ced78b34989f.jpg,166873,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b34989f.jpg,assets/migrated/images/7b2558af50ed_5ced78b34989f.jpg,84946,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b367e10.jpg,assets/migrated/images/3f368fa95505_5ced78b367e10.jpg,207875,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b367e10.jpg,assets/migrated/images/154c87bc60c6_5ced78b367e10.jpg,105398,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b384c30.jpg,assets/migrated/images/9582c2b6eaa8_5ced78b384c30.jpg,109656,200
